Time (ms),Amplitude
-2.01318840616886,0.005848583294268
-1.93733534560921,0.004269154310832
-1.8611989995664,0.003536209330619
-1.78100222826512,0.014936201729923
-1.70599902415491,0.010817320736821
-1.6316568195054,0.004723310402867
-1.55476504550753,0.006247656097912
-1.47910084193664,0.004103904445662
-1.40324778137699,0.002524475462226
-1.32569500791843,0.006023950498123
-1.24984194735878,0.004444521514687
-1.17493317174296,4.34791871777307E-05
-1.09520854291359,0.010032664914445
-1.01746691246627,0.014096462619157
-0.941991565884155,0.011388388298092
-0.864249935436836,0.015452186002803
-0.787924732405267,0.015283563691405
-0.714054670227664,0.007778746685414
-0.637351753218562,0.008738769711644
-0.561687549647676,0.006595018059394
-0.48687320252624,0.001911814397477
-0.411114570460971,5.02240796336206E-05
-0.337055651294603,-0.006890270257542
-0.268568013296851,-0.030478283324754
-0.210265162907589,-0.065479778576182
-0.16817703398244,-0.110893139482117
-0.146822704466891,-0.161202168162331
-0.130884523593474,-0.208675531639188
-0.108201450264102,-0.255014147256669
0.013222801684955,0.062165962174246
0.071374566483203,0.186477927413444
0.041939855805422,0.136563474941903
0.024295217140648,0.102859247339504
0.000661113974987,-0.005800970125906
-0.014636302115116,-0.051511106299903
-0.080821453368683,-0.292752088838382
-0.018109921729932,-0.099929878869336
-0.034486520612986,-0.182603037435826
0.130405865257708,0.248751271161777
-0.033047160562886,-0.139354899423126
-0.045473950423735,-0.219735469043837
0.216483175054718,0.242008586923303
0.263598605563911,0.209292301315958
0.313926295113254,0.169479899105447
0.363347471116516,0.126958748084626
0.41919518065181,0.084621058138606
0.481828251997794,0.043539042338136
0.549938176018012,0.018822383933295
0.620786526375347,0.002288404226268
0.691634876732682,-0.01424557548076
0.764466225472067,-0.024854167165232
0.838997287110353,-0.030383854830371
0.919288486906023,-0.01870170109666
1.00354568346579,0.004831228682162
1.08345916928393,0.015384737078244
1.16025651478742,0.016626921438882
1.23950900114487,0.025205300494112
1.31611748965959,0.025883162185935
1.39130955075856,0.022328603861648
1.46867346722834,0.02526375622873
1.54263795790033,0.018041100557147
1.61905758942628,0.018154639580156
1.69443850751402,0.015164403924683
1.76944171162422,0.011045522931581
1.84359505928497,0.004387189928812
1.92190326069859,0.010143955639968
1.99567889438181,0.00235697729957
2.07096538397516,-0.000915419690311
2.14662958754605,-0.003059171342561
2.22229379111693,-0.005202922994811
2.29786356619344,-0.007628835981469
2.37390548374186,-0.00864394229609
2.45136382870602,-0.005426628594601
2.52655588980499,-0.008981186918888
2.60354209229725,-0.007174679889435
2.67901743887936,-0.0098827542105
2.75307635804573,-0.016823248547677
2.8316678449425,-0.010219998833298
2.90978718936736,-0.005027555790956
0.175, 0.252
